Ref,Val,Package,PosX,PosY,Rot,Side
"U6","ICE40UP5K-SG48ITR","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",11.719718,45.330929,0.000000,bottom
"U8","W25Q32JVSSIQ","SOIC-8_5.23x5.23mm_P1.27mm",7.350918,57.573729,0.000000,bottom
"U9","NCP115AMX330TCG","OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm",3.916718,9.112929,0.000000,bottom
"C1","15p","C_0402_1005Metric",4.099718,31.868929,0.000000,top
"C2","15p","C_0402_1005Metric",6.004718,31.868929,0.000000,top
"C4","0.1u","C_0402_1005Metric",11.922918,18.356129,-90.000000,top
"C5","0.1u","C_0402_1005Metric",4.302918,24.807729,180.000000,top
"C9","0.1u","C_0402_1005Metric",14.513718,18.813329,180.000000,top
"C10","0.1u","C_0402_1005Metric",10.983118,18.356129,-90.000000,top
"C11","4.7u","C_0402_1005Metric",18.679318,27.601729,0.000000,top
"C12","0.1u","C_0402_1005Metric",6.842918,18.914929,180.000000,top
"C13","4.7u","C_0402_1005Metric",14.361318,57.192729,180.000000,top
"C14","0.1u","C_0402_1005Metric",4.810918,53.433529,180.000000,top
"C18","0.1u","C_0402_1005Metric",16.342518,18.813329,0.000000,top
"C19","0.1u","C_0402_1005Metric",18.679318,25.366529,0.000000,top
"C23","4.7u","C_0402_1005Metric",18.476118,20.743729,0.000000,top
"C32","4.7u","C_0402_1005Metric",10.957718,57.294329,180.000000,top
"C35","4.7u","C_0402_1005Metric",14.513718,17.873529,180.000000,top
"C38","4.7u","C_0402_1005Metric",18.679318,24.426729,180.000000,top
"C40","0.1u","C_0402_1005Metric",14.675718,45.690929,180.000000,top
"C42","0.1u","C_0402_1005Metric",17.434718,7.865929,0.000000,top
"D2","MHPA1010RGBDT","LED_Cree-PLCC4_1x1mm_CW",10.957718,58.928000,-90.000000,top
"D3","LTST-C191KGKT","LED_0603_1608Metric",17.612518,58.894529,180.000000,top
"D4","MHPA1010RGBDT","LED_Cree-PLCC4_1x1mm_CW",14.386718,58.928000,-90.000000,top
"D6","1N5819WS","D_SOD-323",18.831718,13.657129,90.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",18.298318,51.223729,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",4.302918,5.986329,0.000000,top
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",6.512718,50.664929,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",11.430000,1.143000,0.000000,top
"J2","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical_Left",-1.270000,52.070000,0.000000,top
"J3","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical_Right",21.590000,52.070000,0.000000,top
"J5","BM03B-SRSS-TB","JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical",6.792118,15.485929,0.000000,top
"J6","SFV22R-2STE1HLF","AMPHENOL_SFV22R-2STE1HLF",11.445718,40.390929,180.000000,top
"L1","3.3u","L_pol_2016",18.704718,22.699529,-90.000000,top
"R1","1k","R_0402_1005Metric",4.099718,30.852929,180.000000,top
"R9","27","R_0402_1005Metric",14.920118,32.021329,180.000000,top
"R13","10K","R_0402_1005Metric",17.495718,35.490929,90.000000,top
"R14","2.2K","R_0402_1005Metric",17.688718,57.395929,0.000000,top
"R15","10K","R_0402_1005Metric",16.418718,16.247929,0.000000,top
"R17","1k","R_0402_1005Metric",10.957718,56.354529,180.000000,top
"R18","1k","R_0402_1005Metric",10.957718,55.389329,180.000000,top
"R19","1k","R_0402_1005Metric",10.957718,54.424129,180.000000,top
"R21","10K","R_0402_1005Metric",4.808918,52.468329,0.000000,top
"R23","10K","R_0402_1005Metric",16.395718,34.090929,-90.000000,top
"R25","100","R_0402_1005Metric",14.513718,16.908329,180.000000,top
"R26","27","R_0402_1005Metric",18.501518,19.753129,0.000000,top
"RN1","10K","R_Array_Concave_4x0402",7.300118,53.001729,90.000000,top
"SW1","CS1213AGF260","PTS820J25KSMTRLFS",6.665118,9.897929,180.000000,top
"SW2","CS1213AGF260","PTS820J25KSMTRLFS",5.928518,57.497529,-90.000000,top
"U3","RP2350_80QFN","RP2350B_QFN-80_EP_10.573x10.573_Pitch0.4mm",11.430000,25.400000,-90.000000,top
"U5","APS6404L-3SQN-SN","SOIC-8_3.9x4.9mm_P1.27mm",15.021718,12.056929,-90.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",4.861718,34.535929,90.000000,top
